id	authors	year	title	container_or_publication	raw_entry
de-goede-2014-bib-093	Schrijver, Peter	1997	Studies in the history of Celtic pronouns and particles	 National University of Ireland.	Schrijver, Peter (1997). Studies in the history of Celtic pronouns and particles. Maynooth: National University of Ireland.
de-goede-2014-bib-094	Schrijver, Peter	2003	Athematic i-presents: the Italic and Celtic evidence.	Incontri Linguistici 26 (59-86).	Schrijver, Peter (2003). “Athematic i-presents: the Italic and Celtic evidence.” Incontri Linguistici 26 (59-86).
de-goede-2014-bib-095	Schrijver, Peter	2007	British Celtic Comparatives and their Syntax	 Nussbaum, Alan J. (ed.). Verba docenti: studies in historical and Indo-European linguistics presented to Jay H. Jasanoff by students, colleagues, and friends. Ann Arbor [etc.]: Beech Stave (307-19).	Schrijver, Peter (2007). British Celtic Comparatives and their Syntax. In: Nussbaum, Alan J. (ed.). Verba docenti: studies in historical and Indo-European linguistics presented to Jay H. Jasanoff by students, colleagues, and friends. Ann Arbor [etc.]: Beech Stave (307-19).
de-goede-2014-bib-096	Schumacher, Stefan	2000	The Historical Morphology of the Welsh Verbal Noun	 National University of Ireland.	Schumacher, Stefan (2000). The Historical Morphology of the Welsh Verbal Noun. Maynooth: National University of Ireland.
de-goede-2014-bib-097	Schwyzer, Eduard	1938	Griechische Grammatik. I: Allgemeiner Teil, Lautlehre, Wortbildung, Flexion. München: C. H. Beck’sche Verlagsbuchhandlung.		Schwyzer, Eduard (1938). Griechische Grammatik. I: Allgemeiner Teil, Lautlehre, Wortbildung, Flexion. München: C. H. Beck’sche Verlagsbuchhandlung.
de-goede-2014-bib-098	Sihler, Andrew	1995	New comparative grammar of Greek and Latin	York [etc.]: Oxford University Press.	Sihler, Andrew (1995). New comparative grammar of Greek and Latin. New York [etc.]: Oxford University Press.
de-goede-2014-bib-099	Staaij, Robert Johannes van der	1995	A reconstruction of Proto-Italic (unpublished dissertation Leiden University).		Staaij, Robert Johannes van der (1995). A reconstruction of Proto-Italic (unpublished dissertation Leiden University).
de-goede-2014-bib-100	Strachan, John	1909	An introduction to early Welsh	 At the University Press.	Strachan, John (1909). An introduction to early Welsh. Manchester: At the University Press.
de-goede-2014-bib-101	Stüber, Karin	1998	The historical morphology of N-stems in Celtic	 National University of Ireland.	Stüber, Karin (1998). The historical morphology of N-stems in Celtic. Maynooth: National University of Ireland.
de-goede-2014-bib-102	Stüber, Karin	2004	Individualisierendes *-on- in Namen von Göttern und Göttinnen	Journal of Diachronic Linguistics and Linguistic Reconstruction 1 (1-17).	Stüber, Karin (2004). Individualisierendes *-on- in Namen von Göttern und Göttinnen. International Journal of Diachronic Linguistics and Linguistic Reconstruction 1 (1-17).
de-goede-2014-bib-103	Szemerényi, Oswald	1970	Einführung in die vergleichende Sprachwissenschaft	 Wissenschaftliche Buchgesellschaft.	Szemerényi, Oswald (1970). Einführung in die vergleichende Sprachwissenschaft. Darmstadt: Wissenschaftliche Buchgesellschaft.
de-goede-2014-bib-104	Ternes, Elmar (ed.)	2011	Brythonic Celtic: From Medieval British to Modern Breton	 Hempen.	Ternes, Elmar (ed.) (2011). Brythonic Celtic: From Medieval British to Modern Breton. Bremen: Hempen.
de-goede-2014-bib-105	Thomas, R.J. et al. (eds.)	1950-2002	Geiriadur Prifysgol Cymru = A dictionary of the Welsh language	 Gwasg Prifysgol Cymru.	Thomas, R.J. et al. (eds.) (1950-2002). Geiriadur Prifysgol Cymru = A dictionary of the Welsh language. Caerdydd: Gwasg Prifysgol Cymru.
de-goede-2014-bib-106	Thurneysen, R.	1946	A Grammar of Old Irish	 The Dublin Institute for Advanced Studies.	Thurneysen, R. (1946). A Grammar of Old Irish. Dublin: The Dublin Institute for Advanced Studies.
de-goede-2014-bib-107	Vaan, Michiel de	2008	Etymological dictionary of Latin and the other Italic languages	[etc.]: Brill. Vaan, Michiel de (in press). “Reduplicated demonstratives in ancient Indo-European languages.”	Vaan, Michiel de (2008). Etymological dictionary of Latin and the other Italic languages. Leiden [etc.]: Brill. Vaan, Michiel de (in press). “Reduplicated demonstratives in ancient Indo-European languages.”
de-goede-2014-bib-108	Vendryes, Joseph	1937	La position linguistique du celtique	 The British Academy.	Vendryes, Joseph (1937). La position linguistique du celtique. London: The British Academy.
de-goede-2014-bib-109	Vendryes, Joseph	1959-	Lexique étymologique de l’irlandais ancien	 Institute for Advanced Studies; Paris: Centre National de la Recherche Scientifique.	Vendryes, Joseph (1959-). Lexique étymologique de l’irlandais ancien. Dublin: Institute for Advanced Studies; Paris: Centre National de la Recherche Scientifique.
de-goede-2014-bib-110	Vijūnas, Aurelijus	2009	The Indo-European Primary T-stems	 Institut für Sprachen und Literaturen der Universität Innsbruck.	Vijūnas, Aurelijus (2009). The Indo-European Primary T-stems. Innsbruck: Institut für Sprachen und Literaturen der Universität Innsbruck.
de-goede-2014-bib-111	Vraciu, A.	1969	Unele consideraţii asupra raporturilor dintre limbile italice şi celtice.	"Analele ştiinţifice ale Universităţii ""Al. I. Cuza"", Secţiunea IIIe (Iaşi) 15 (1-15)."	"Vraciu, A. (1969). “Unele consideraţii asupra raporturilor dintre limbile italice şi celtice.” Analele ştiinţifice ale Universităţii ""Al. I. Cuza"", Secţiunea IIIe (Iaşi) 15 (1-15)."
de-goede-2014-bib-112	Wackernagel, Jacob; Debrunner, Albert (author)	1954	Altindische Grammatik. Vol. II, 2: Die Nominalsuffixe. Göttingen: Vandenhoeck & Ruprecht.		Wackernagel, Jacob; Debrunner, Albert (author) (1954). Altindische Grammatik. Vol. II, 2: Die Nominalsuffixe. Göttingen: Vandenhoeck & Ruprecht.
de-goede-2014-bib-113	Walde, Alois	1917	Über älteste sprachliche Beziehungen zwischen Kelten und Italikern	 Wagner.	Walde, Alois (1917). Über älteste sprachliche Beziehungen zwischen Kelten und Italikern. Innsbruck: Wagner.
de-goede-2014-bib-114	Walde, Alois; Hoffmann, Johann Baptist	1930-1956	Lateinisches etymologisches Wörterbuch	 Winter.	Walde, Alois; Hoffmann, Johann Baptist (1930-1956). Lateinisches etymologisches Wörterbuch. Heidelberg: Winter.
de-goede-2014-bib-115	Watkins, Calvert	1966	Italo-Celtic Revisited	 Birnbaum, Henrik; Puhvel, Jaan (eds.). Ancient Indo-European Dialects. Berkeley: University of California Press (29-50).	Watkins, Calvert (1966). Italo-Celtic Revisited. In: Birnbaum, Henrik; Puhvel, Jaan (eds.). Ancient Indo-European Dialects. Berkeley: University of California Press (29-50).
de-goede-2014-bib-116	Watkins, Calvert	1990	A Celtic-Latin-Hittite etymology	 Tzvi Abusch, I. et al. (eds.). Lingering over words: studies in ancient Near Eastern literature in honor of William L. Moran. Atlanta, Georgia: Scholars Press (451-3).	Watkins, Calvert (1990). A Celtic-Latin-Hittite etymology. In: Tzvi Abusch, I. et al. (eds.). Lingering over words: studies in ancient Near Eastern literature in honor of William L. Moran. Atlanta, Georgia: Scholars Press (451-3).
de-goede-2014-bib-117	Weiss, Michael	1993	Studies in Italic nominal morphology (unpublished dissertation Cornell University).		Weiss, Michael (1993). Studies in Italic nominal morphology (unpublished dissertation Cornell University).
de-goede-2014-bib-118	Weiss, Michael	2009	Outline of the historical and comparative grammar of Latin	Arbor [etc.]: Beech Stave.	Weiss, Michael (2009). Outline of the historical and comparative grammar of Latin. Ann Arbor [etc.]: Beech Stave.
de-goede-2014-bib-119	Weiss, Michael	2012	Italo-Celtica: Linguistic and Cultural Points of Contact between Italic and Celtic	 Jamison, Stephanie W. et al. (eds.). Proceedings of the 23rd Annual UCLA Indo- European Conference. Bremen: Hempen (151-73).	Weiss, Michael (2012). Italo-Celtica: Linguistic and Cultural Points of Contact between Italic and Celtic. In: Jamison, Stephanie W. et al. (eds.). Proceedings of the 23rd Annual UCLA Indo- European Conference. Bremen: Hempen (151-73).
de-goede-2014-bib-120	Wodtko, Dagmar S.	1995	Sekundäradjektive in den altirischen Glossen	zur präfixalen und suffixalen Wortbildung. Innsbruck: Institut für Sprachwissenschaft der Universität Innsbruck.	Wodtko, Dagmar S. (1995). Sekundäradjektive in den altirischen Glossen. Untersuchungen zur präfixalen und suffixalen Wortbildung. Innsbruck: Institut für Sprachwissenschaft der Universität Innsbruck.
de-goede-2014-bib-121	Yates, Anthony D.	2009	The Question of Italo-Celtic Unity (published on Scribd).		Yates, Anthony D. (2009). The Question of Italo-Celtic Unity (published on Scribd).
de-goede-2014-bib-122	Zimmer, Stefan	1990	Dating the Loanwords: Latin Suffixes in Welsh (and their Celtic Congeners)	 Bammesberger, Alfred; Wollmann, Alfred (eds.). Britain 400-600: language and history. Heidelberg: Winter (263-281).	Zimmer, Stefan (1990). Dating the Loanwords: Latin Suffixes in Welsh (and their Celtic Congeners). In: Bammesberger, Alfred; Wollmann, Alfred (eds.). Britain 400-600: language and history. Heidelberg: Winter (263-281).
de-goede-2014-bib-123	Zimmer, Stefan	2000	Studies in Welsh Word-formation	 Dublin Institute for Advanced Studies.	Zimmer, Stefan (2000). Studies in Welsh Word-formation. Dublin: Dublin Institute for Advanced Studies.
de-goede-2014-bib-124	Zimmer, Stefan	2002	Latin and Welsh	 Sawicki, Lea et al. (eds.). Donum Grammaticum: Studies in Latin and Celtic Linguistics in Honour of Hannah Rosén. Leuven [etc.]: Peeters (395-406).	Zimmer, Stefan (2002). Latin and Welsh. In: Sawicki, Lea et al. (eds.). Donum Grammaticum: Studies in Latin and Celtic Linguistics in Honour of Hannah Rosén. Leuven [etc.]: Peeters (395-406).
