item,reconstruction_or_headword,gloss,attestations,notes,external_comparanda,discussion
35,*h₁ís(h₂)-u-,‘arrow’,"(?)Hit. isḫuwa(i)- ‘to throw, scatter, pour’; (?)Irish io-dhan ‘spear’, (?)Welsh eog ‘salmon’; Gr. ἰός; Ved. iṣu-, Av. išu-.","The Irish form, not traditionally connected with this group, has been proposed by Mann (1984: 434), but the accompanying Celtic comparanda definitely do not favor the proposition semantically. Mayrhofer ventures the Hittite connection (1988: 200), but faces opposition by Kloekhorst who prefers to consider the initial i- epenthetic and thus ascribes it to an earlier un-metathesized variant *sh₂u- to the verb traditionally reconstructed *suh₂-‘to rain’ (2008a: 396ff.). It seems, however, that both solutions could work semantically as well as formally (cf. Kimball 1999: 143). If the distribution is limited to Graeco-Aryan, it can hardly qualify as a candidate for the oldest strata of PIE, and may alternatively be an innovation to the verbal root *h₁eish₂- ‘set in motion’, as suggested by Mallory & Adams (1997: 78), notably only attested in Graeco-Aryan.",Semitic: *ḥiϑ w-,"If, indeed, a foreign element in (P)IE, as suggested by Dolgopolsky (1987: 15, 1989: 7), the regional distribution suggests later transfer, comparable to *pelek̂u- ‘axe’ (item 102) into Graeco-Aryan or late PIE. There seems to be a dearth of Afro-Asiatic cognates (cf. Orel & Stolbova 1995 and Militarev 2006 s.v. ‘arrow’), which questions its age in Semitic, too, and an unattested third source may be posited, but this seems unnecessarily complicated, and the item may well represent a borrowing from Semitic into late PIE."
36,*h₁ln̥bh-,‘lamb’,Goth. lamb ‘sheep’; (?)Gr. ἒλαφος ‘red deer’,"If rightly connected by Kroonen, this root has very limited and semantically difficult IE distribution, and for both branches necessarily different Ablaut grades (2013: 325f.). The traditional etymology for the Greek item departs from a possible Aeolic origin of the alternate form ἐλλός ‘fawn’ < *el-n-os, cf. Arm. eln ‘id.’, Lith. élnis ‘id.’, OCS elenĭ ‘id.’, Welsh elain ‘id.’ (e.g. Frisk 1960: 483ff.). Adams surely connects to these forms Toch. A yäl ‘gazelle’, B yal ‘id.’ and the rather elusive Hit. aliyan(a)- ‘(?)roebuck’ (2013:523), and further, more semantically tantalizing, Toch. B āl- ‘ram’ (2013:58). The labial obstruent in the main Greek lemma has then been compared to the identical ending of ἒρι-φος ‘youngling’ that is decisively derivational in Ved. vṛṣa-bhá- ‘bull’ from vr ́ṣan- ‘manly, powerful’ (Chantraine 1968: 333,372). This PIE suffix *-bʰé- may be relevant for Germanic regardless of the heritage. Lehmann hesitantly connects all of the above from a root *el- ‘brown’ (1986: 226), which may as well be fitted with the initial laryngeal *h₁-, but Germanic is formally difficult to include in this bulk. The Greek branch, along with its possible cognates, would surely help establish the root as of PIE origin, but the comparison is doubtful. Prudence dictates isolation for the root in Germanic.","NE Caucasian: *ɫVmbagV ‘sheep’ > Avar lémag, Akhvakh lãgi; Lezghian lap:ag","What appears to be a new comparison nonetheless suggests itself straightforwardly with almost perfect alignment of three identical radicals; moreover, the Avar gloss is a) ‘sheep’ b) ‘1yr old sheep’ (NCED s.v.), mirroring the Germanic semantics. According to Nikolayev & Starostin the NE Caucasian form is likely to have been borrowed (ibid.). It is possible that this lexeme at an early stage complimented the proper PIE *h₃ewi-‘sheep’ (item 58), either as a loan from an unidentified source but in common with NE Caucasian, or as an internal derivation; the semantic fate in Germanic and possible elsewhere in IE surely indicates a kind of specialization. The lexeme was transferred into Finnish lammas ‘sheep’ from a Germanic language spoken in the Baltic region, either Gutnish or Gothic (Kroonen 2013: 326), both of which developed (or retained) the less specialized meaning. The connection may thus be compared to PIE *h₂e(i)ĝ- ‘goat’ (item 40) as a lexical isogloss unique to NE Caucasian and western IE."
37,*(h₁)oi- ‘one’ (see § 5.1),,,,,
38,*(h₁)raudh-,‘copper’,"ON rauði ‘red iron ore’; OCS ruda ‘ore, metal’; Skr. lohá-, Farsi rōd","The distribution fails to cover the ancient branches, but nonetheless shows decent conformity across the board. The form in PIE appears to be an obvious derivation to its color, red < *h₁reudh-.","Sumerian: urudu (Dolgopolsky 1987: 23, Nichols 1997: 143)","The Sumerian connection would be stronger if Semitic or Caucasian languages showed similar reflexes, so although a connection cannot be ruled out entirely, perhaps most strongly of an original Wanderwort subjected to folk etymological remodeling, the presence of a true cognate here seems ill-fated (Mallory & Adams 1997: 379). *(h₁)reugh- ‘sour milk, butter’, see item 107 under *r-"
39,*h₁webh-,‘to weave’,"Hit. wep-; Toch. A wäp-, Toch. B wāp-; OHG weban; Alb. vej; Myc. e-we-pe-se-so- me-na (fut.part.), Gr. ὑφαίνω","Mallory & Adams suggests that this familiar item is an extension of the simpler root *h₂/3eu- ‘to weave’, which seems to continue its existence in the shadow of the derivation (1997: 572). The quality of the initial laryngeal, however, seems settled with the Mycenaean evidence as *h₁- (Kloekhorst 2008a: 1001f.). This root extension can obviously be traced back to earliest strata of PIE, i.e. before the departure of Anatolian.","Kartvelian: *γweb- > e.g. Georgian γob, Svan γweb 'log-trough; beehive' NW Caucasian: *x̆a- > e.g. Abkhaz -ħa-","The Svan material is somewhat obscure but may reasonably be included to establish a common Kartvelian etymology (cf. Klimov 1998: 225). If from PIE, the initial consonant in Kartvelian is tantalizing as might reflect an original PIE laryngeal, but the comparison is more attractive as an early loan from a developing Armenian language, cf. *woin- ‘wine’ (item 133), where the Kartvelian initial reflex is paralleled, but the root is unattested (Matasović 2012: 288), and the chronology for ‘wine’ remains disputed. A loan etymology has also been proposed for another item within the same semantic field, viz. from PIE *tek(?)-(s)- ‘to craft’ (item 122), also borrowed into Kartvelian. Although presumably fairly archaic, the semantic field does appear conducive for lexical borrowing of a specialized skill or trade. The evidence presented by Colarusso for NW Caucasian (2003: 55) is wholly unconvincing, especially in light of Nikolayev & Starostin’s reconstruction of a Proto-North Caucasian root, *-iqăr (NCED s.v. ‘weave’), that accounts for the forms while irrevocably severing all formal ties to PIE. *(h₁)wer- ‘water, rain’, see item 130 under *w-"
40,*h₂e(i)ĝ-,‘goat’ PIE (1) *h₂eiĝ-,"Alb. dhi; Gr. αἲξ; Arm. aic; (?)Ved. eḍa- ‘kind of sheep’, Av. īzaena- ‘leathern’","The Vedic requires analogy to fit the picture, but seems plausible (cf. Mayrhofer 1986: 264). Attestations only warrant reconstruction for late PIE. PIE (2) *h₂eĝ-","North Caucasian: *Hējʒ́u (cf. *ʡējʒ́wē of NCED s.v. ‘goat, she-goat’)","The variant forms within (P)IE do suggest a foreign source, which, indeed, may be found in North Caucasian, as suggested by S. Starostin (2009: 80 fn.8). This is certainly suggested by the phonological compositions that are close to being superimposable, especially on reconstruction (1) with the diphtongue. The second reconstruction may under this paradigm be explained as either stemming from folk-etymological analogy with the homophonous verbal root *h₂eĝ- ‘to lead’, or as the natural yet inconsequent treatment of a foreign sequence in (P)IE (cf. Matasović 2012: 290 fn.16). Further phonological confusion is encountered if PIE *h₂egw-no- ‘lamb’ (item 45) is considered a derivative to the present form."
41,*h₂ebh-,‘river’,"(?)Hit. ḫapa-, (?)Luw. ḫāpa/i-; Lat. amnis; OIr. aub.","Although the validity of the Anatolian forms is questioned by Mallory & Adams (1997: 486), rendering the extent of distribution geographically close Italo-Celtic, Kloekhorst confidently connects the ancient branch (2008a: 294f.) which establishes the item for early PIE. The distribution suggests that the item was lost in many central IE branches, possibly as a common innovation.","Egyptian: hpi ‘go, travel’","Suggested by Bomhard as evidence of genetic relationship (1981: 436), this comparandum suffers from semantic discontinuity, and does not reflect loan relations to or from PIE. No further Afro-Asiatic can safely be established, either."
42,*h₂ebVl-,‘apple’,"(?)Osc. Abella (toponym); OIr. ubull; ON epli; Lith. obuolỹs; OCS (j)ablŭko; (?)Thr. dinopula, synopula; (?)Pashaei wālī, (?)Kashmiri ambari-trel ‘small kind of a.’, (?)Pashto maṇá","The Thracian forms may well be connected as literal ‘dog-apple’, a perfect cognate of Lithuanian šun-obuolỹs (Markey 1988: 51), but there is no evidence for a PIE term (ibid. passim.). An Indo-Iranian strain may be included, but requires some irregular developments to fit with the European stock (Mallory & Adams 1997: 25), especially if the more erratic Iranian strain continuing *marnā- (Morgenstierne 1927: 45) is heeded. Here, like elsewhere, the reconstruction of *h₂e- rather than *a- is based on assumptions of PIE that was evidently resolved by the ultimate dispersal of the dialect continuum.",Uralic: Fenno-Volgaic *omɜrɜ or*omena,"Apples were only domesticated in the 1st millennium BC (Zohary 1990:39), and the item is a clear wanderwort and traces its entrance to a handful of IE languages long after the dissolution of PIE (Campbell 1990: 163f., cf. also S. Starostin 2009: 93f.)."
43,*h₂eĝ-,‘to lead’,"Toch. A ākeñc, Toch. B āśäṃ; Lat. agō; OIr. -aig; ON aka ‘convey’; Gr. ἂγω; Arm. acem; Ved. ájati, YAv. azaiti.","The lack of Anatolian cognates for an otherwise prolific root only safely establishes a reconstruction for early middle PIE. The reconstruction of this root is tied to the question whether PIE *a was a natural part of the phonological system or merely introduced and developed. Due to the clear cases of laryngeal coloring of *e to *a in the immediate vicinity of *h₂, there are few examples where a PIE *a need be posited. Depending on which hypothesis is preferred, and, more generally, what stage of PIE an item belongs to, this reconstruction may as well be *aĝ-. The root is generally assumed to be the derivational basis for *h₂eĝ-ros (item 44).","Uralic: FU *aja Semitic: *ḥak’-ak’- ‘command’ NW Caucasian: *x̂we- 'drive, push' HU: Hurrian and Urartian ag- ‘to bring, to lead’","This type of root more easily finds comparanda because of the short root form and basic meaning, cf. *dʰeh₁- ‘to put, place’ and *deh₃- ‘to give’ (items 11 and 8, respectively). Such is the case with the Hurro-Urartian material (suggested as connected by Fournet & Bomhard 2010: 107 and Gamkrelidze & Ivanov 1995: 779, respectively) where it is extremely difficult to substantiate that the sequence VG is not simply due to chance; semantically there is no problem. Additional phonological evidence hereto may thus be found in Nikolayev & Starostin’s reconstruction of a North Caucasian *-ărḳĔw ‘to drive, urge’ (NCED s.v.) that seems to have a more complex consonant cluster than PIE in addition to reconstructed a-vocalism which seldom favors very old strata of PIE. Where the North Caucasian evidence alone then appears too far removed to constitute a viable formal connection, with the added consequence of rendering Colarusso’s NW Caucasian comparison (2003: 56) obsolete, the IE material nowhere demands an aboriginal sequence *h₂e-, and, strictly tentatively, a source may thus be found in a simplified descendant of North Caucasian, possibly resembling Hurro-Urartian. The Uralic forms probably have been borrowed from Indo-Iranian due both to vocalism and consonantism (cf. Koivulehto 1994: 137f.), a connection that still stands scrutiny if a North Caucasian origin is accepted. More difficult seems the connection with Semitic that evidently brands a more complex morphological structure, so the comparison need be weighed against the intended genetic affinity theory (Bomhard 1981: 432, 2008: 647f.) which is beyond the scope of the present investigation."
44,*h₂eg̑-ro-s,‘field’,"Lat. ager; Goth. akrs; Myc. a-ko-ro, Gr. ἀγρός; Arm. art; Ved. ájra- ‘plain’.","Possibly a PIE, but, due to distribution, hardly ancient, derivation of the verbal root *h₂eg̑- ‘to lead, drive (cattle)’ (item 43), and thus semantically developed from ‘pasture’, which may be indicated by the semantics of the Vedic cognate (Mallory & Adams 1997: 200). The connection is questionable (cf. Sihler 1995:45), however, requiring a strange *-ro-derivation, and the association to PIE word stock may thus be ascribed to folk-etymological reinterpretation.","Semitic: *ḫagar ‘arable field’ > Ge’ez hagar, Aramaic haǧar ‘village’ (Dolgopolsky 1987: 23) Semitic (alternative): *ḥk’l > Arabic haql, Akk. eqlu, Aramaic ḥaglā (Bomhard 1981: 431) Sumerian: agar ‘irrigated territory, grainfield’ (Gamkrelidze & Ivanov 1995: 773) NE Caucasian: *ˁüć ć ürV ‘meadow, glade, clearing’ (S. Starostin 2009: 98)","An external source is necessarily challenged by the proposed internal PIE derivation of the item, but it is, of course, conceivable that a technical innovation that followed the spread of agriculture carried along with it a lexical item that was absorbed by the recipient linguistic community. Dolgopolsky suggests that the Sumerian term only relates to (P)IE through Semitic (1987: 23), while Diakonoff questions the connection altogether (1985: 134). Whereas Bomhard’s group may have Afro-Asiatic cognates, cf. Orel & Stolbova who posit East Chadic *kVl- ‘earth’, from a common *ḥaḳVl- ‘earth, field’ (1995: 271), *ḫagar appears to be isolated in a few Semitic forms and may well be connected with Sumerian (originally proposed by Schott 1936: 83) and the IE comparanda (cf. Tyloch 1975: ## 56 fn.5). The Caucasian connection appears comparatively weaker, both formally and semantically, although the latter may be offset by the meaning in Vedic. As with the verbal root *h₂eg̑- (item 43), the similarities can ultimately stem from chance resemblance, but may as well be a part of the extensive linguistic influx of agricultural terms in primarily western IE languages."
45,*h₂egw-no-,‘lamb’,Lat. agnus; OIr. úan; OEng. ēanian ‘to yean’; OCS agnę; Gr. ἀμνός,"Attestations reflect limited distribution, that nonetheless seems tightknit despite minor differences (Frisk 1969: 93f.). The item cannot be posited for the earlier stages of PIE, and appear to be a European regionalism.",Semitic: cigl- ‘young animal’ (Gamkrelidze & Ivanov 1995: 769),"Orel & Stolbova connect Semitic with cognates in Central Chadic, Cushitic, and Omotic to establish Afro-Asiatic *cigal ‘cow, calf’ (1995: 247), and note should be made of the semantics that are consistently bovine except for the generalization that incurred very sporadically in Ge’ez to ‘young animal’ and possibly also Akkadian agalu ‘donkey’. Gamkrelidze & Ivanov choose to weigh the more general meaning (ibid.) that more readily resonates with the (P)IE reconstruction despite considerable evidence pointing to the conclusion of higher specialization (cf. also Diakonoff1985: 129f.); the Semitic comparanda should consequently be rejected. Rather, the word may be connected with *h₂e(i)ĝ- ‘goat’ (item 40), which requires both semantic drift and an explanation of the formally incompatible velars, that may be ascribed to its putative foreign nature."
46,*h₂eis-,‘metal’,"Lat. aes; ME ore; Av. ayah-, Skr. áyas-","The internal semantic development in the individual branches that seems to corroborate a technological transition from general ‘metal’, or possibly ‘copper’, to more sophisticated stages of metallurgy, e.g. Skr. áyas- ‘iron’ (Mallory & Adams 2006: 241), is expected in light of the fact that copper is among the earliest metal known to have been used, probably along with gold (Gamkrelidze & Ivanov 1995: 773). The limited distribution makes a reconstruction to early PIE untenable.","NW Caucasian: *yəx̂a ‘iron, metal’","Colarusso’s connection to NW Caucasian (1997: 144) is, as always, hard to weigh given the intricacies of the language family crossed with the complexities and bias of the proposer. The lack of a North Caucasian root renders the form isolated, and must be considered an unlikely candidate, although difficult to disproof. A foreign origin for the (P)IE term would help explain the limited distribution."
47,*h₂elut-,‘beer’,(?)Lat. alūmen ‘alum’; ON ǫl; Lith. alùs; OCS olŭ; (?)Gr. ἀλύδ(ο)ιμον (Hes.) ‘sharp (of taste)’; Ossetic ælūton.,"The Latin and Greek connections are attractive and help focus the inherited meaning behind the derivation that likely occurred in a late PIE stratum. Mallory & Adams attempt to connect it with Hittite alwanz- ‘bewitched, affected by sorcery’ (1997: 60), but Kloekhorst finds it improbable on phonological grounds (2008a: 171).",Semitic: *ḥalíj- ‘sweet’,"There is not much that warrant a comparison since the formal resemblance is sporadic, at best, while the semantic unison of ‘sweet’ and ‘bitter’ is hopeful rather than substantially grounded; the proponent Dolgopolsky concedes the questionability of the comparison (1989: 7)."
48,*h₂em-s-,"‘to beget, progenate’","Hit. ḫasi-, CLuw. hamsa- ‘grandchild’; ON áss ‘god’, German Ans-helm (PN); Ved. ásura ‘godly, mighty’, Av. ahura ‘lord, god’.","An Anatolian complex is demonstrated by Kloekhorst (2008: 319, 328) and must be based on the verbal root *h₂ems- ‘to beget’; the nominal forms are trivially derived. The development of *-VNsV- > -VssV- in Hittite seems beyond reproach (cf. Kimball 1999: 329--332). Core-IE has uniformly assimilated *-Vms- > *-Vns-, so that Luwian (Cuneiform Luwian hamsa- and Hieroglyphic Luwian hamasa- ‘grandchild’), then, is the sole informant of the aboriginal labial nasal.",HU: Hurrian ḫan- (Fournet & Bomhard 2010: 112ff.),"Although Fournet & Bomhard are careful to make the connection (2010: 112), a single root for ‘grandmother’ and ‘progenate’ seems difficult in light of the inherent masculine traits associated with the latter (Eichner 2002: 137), but that need not be an ultimate consequence of the correlation; *h₂en-Ho- ‘grandmother’ (item 49) may well be a separate formation."
49,*h₂en-Ho-,‘grandmother’,"Hit. ḫanna, Lyc. χñna ‘old woman’; Lat. anus; OHG ana; OPrus. ane, Lith. anýta; Arm. han.","This PIE item represents an old feminine o-stem with Anatolian evidence, unlike *snuso- (item 114). Distribution points to an old formation, but see further in the discussion immediately below.","NW Caucasian: *anə́- ‘mother’ (Bomhard 2015: 14) NE Caucasian: Tabasaran ana ‘mother’; Tsezi eniju HU: Hurrian ḫan- ‘to bear (a child), beget’ (Fournet & Bomhard 2010:112ff.)","The NW Caucasian evidence may be expanded since Nikolayev & Starostin actually proposes a Proto-North Caucasian etymology for this root, *ʔānV(jV) ‘mother’ with NE Caucasian reflexes (listed above, cf. NCED s.v.). Individually, both the PIE and PNC roots are reconstructable with little formal difficulty, although scholars of both phyla concede the obvious chance of a Lallwort phenomenon. The junction of the two families faces exponentially greater obstacles, including semantics, but cannot be ruled out; cf., then, PIE *h₂enHo- ‘grandmother’ with PNC *ʔānV- ’mother’. The Hurrian material, not included in the NCED, would relate to the potential root of PIE *h₂en-Ho- and is treated under *h₂em-s-‘beget, progenate’ (item 48)."
50,*h₂endh-,‘edible plant’,(?)Alb. end ‘pollen’; Gr. ἂνθος ‘flower’; Arm. and ‘field’; Ved. ándha- ‘soma plant’,"The distribution is limited to Graeco-Armeno-Aryan with the added complexity that none of the meanings are identical. A range of explanations have been proposed for Armenian (see Martirosyan 2010: 72ff.), but the semantic connection of all forms may be found in Albanian (Demiraj 1997: 166 and Orel 1998: 87). Considered the very latest stage of PIE, this item probably does not belong to the oldest strata.","Semitic: *ḥinṭ-(at-) ‘wheat, grains’ (Gamkrelidze & Ivanov 1995: 770)","The possibility of a borrowing from Semitic remains (cf. Martirosyan 2010: 73f.), despite the fact that the semantic variation in IE seems unconducive to a cultural transfer, which prompts Diakonoff to reject the comparison altogether (1985: 127f.)."
51,*h₂esinos,"‘donkey, ass’","HLuw. targaš(ša)nalli(ya)- ‘of a muleteer’; Lat. asinus; (?)Welsh asyn; ON asni, (?)OEng. assa; (?)Lith. asilas; (?)OCS osl; (?)Gr. ὂνος, (?)Myc. o-no; Arm. eš","The item is only attested in western branches of IE, suggesting a regional phenomenon, matched in the east by the possible Akkadian origin of the Indo-Iranian synonym (cf. Mayrhofer 1989: 447). All the North European attestations appear to have been borrowed from the Mediterranean sphere (Onions 1966: 55). The initial a- in most IE branches is per tradition reconstructed with the sequence *h₂e-.","Sumerian: anše ‘equid, d.’ Semitic: Hebrew athon","Sahala proposes further connections with Egyptian āa which corroborate an entry to the Middle East from Northern Africa (2009:5), probably an Afro-Asiatic language, and such a trajectory certainly favors either direct continuation, through Sumerian, into the IE languages, or a secondary entry from the source language. Militarev’s Afro-Asiatic reconstruction for Sahala’s Egyptian comparandum has further cognates in Western Chadic and Omotic and continues *ʕay/wr- (2006: item 1977) which formally veers from the IE attestations, and the Hebrew form suggested by Mallory & Adams (1997: 33) does not match the set provided by Orel & Stolbova (1995:243). Be that as it may, the item only entered IE languages at a late stage, possibly at multiple more or less independent occasions."
52,*h₂eus-,‘gold’,"Toch. A wäs, B yasa; Lat. aurum; OLith. ausas, OPrus. ausis; (?)Arm. oski.","The Tocharian forms point back to a different root vocalization than the rest of the stock, viz. PToch. *h₂ues-eh₂ (Adams 2013: 525), if PIE at all (see discussion below). Modern Lithuanian auksas represents the innovation of velar insertion common to the Baltic languages (Endzelin 1922: 172ff.), and should consequently not be compared with the Uralic forms. Armenian stands out with an old velar akin to the Uralic forms below. The connection to the root for the ‘dawn’ (Mallory & Adams 2006: 241), i.e. ‘red-glowing’, is probable, and thus ultimately no more archaic than ‘silver’ *h₂erĝ-ent-, lit. ‘bright-shining’. Driessen suggests that the item in PIE was reduplicated, thus *h₂eh₂us- (2003).","Uralic: *vaśke or *vaske (Joki 1973: 339) NW Caucasian: *γwe-č'a 'iron' NE Caucasian: e.g. Andi misidi, Khinalug mis ‘copper’ (Gamkrelidze & Ivanov 1995: 773) HU: Hur. ušḫi Sumerian: guškin (Nichols 1997: 143)","According to Driessen, the Tocharian evidence is best explained as a loan from Samoyedic (2003: 349) and would consequently be irrelevant for PIE, but this notion is challenged by Napolskikh (2001: 375). The Uralic connection is unlikely to be anything but a Wanderwort, probably connected to Armenian somehow (Aalto 1959: 36), especially considering inconsistencies within Uralic itself (Joki 1973: 339), although the details are elusive. Rédei maintains it as a common Proto-Uralic word (UEW: 560), which does allow for time depths more favorable to a sufficiently old root in PIE for Armenian to have retained it. Objections to a connection to Sumerian guškin and Hurrian ušḫi are the same here as for ‘copper’, PIE *raudʰ- (item 38), i.e. that color associations account for internal formations, although an otherwise linguistically unaffiliated suffix *-ki for metals may account for some of the variation, cf. Hurrian ḫabalginnu-, Georg. rḳina ‘iron’, etc. (Martirosyan 2010: 533). A folk-etymological reinterpretation of loanwords may yet confound actual connections. The NE Caucasian collection would require a shift from *w- > *m- as suggested by Gamkrelidze & Ivanov (1995:773), but Nikolayev & Starostin reconstruct *mVlsē (NCED s.v.) for the proto-language and thus remove the item further from the alleged comparanda. Colarusso’s NW Caucasian comparandum *γwe-č'a 'iron' (1997:144) is difficult to scrutinize in light of his Pontic hypothesis, but may as well be connected. All things considered, the most prudent hypothesis regarding the IE stock seems to be at least two, possibly more, separate loans from a highly attractive traded metal, entering the early stages of the differentiating dialects."
53,*h₂mei-gw-,‘to exchange’,"Toch. B mäsk-; Lat. migrāre ‘to change (location)’; OCS mĕna; Gr. ἀμείβω; Ved. ví mayante, YAv. fra-mita- ‘change’","The velar extension is only evident for Greek and Latin, although Tocharian may have lost it in the complex cluster created with the present *-sk̂- formation (Adams 2013: 492). The lack of cognates in Anatolian makes a reconstruction to the oldest layers untenable.","Uralic: *miγ(w)e ‘give, sell’ (UEW 275) > e.g. Fin. myy-, Selkup miqo","Koivulehto agrees with Rédei in the PIE resemblance, but posits a slightly different reconstruction for Uralic, *mexe-, due to Saami vocalism (2001: 237). The Uralic comparanda require the velar extension in IE, and it is, again, tantalizing to find what resembles a reflex in Selkup (cf. the discussion of item 78). The semantics are clearly favorable to a loan relation in the cultural context of trade and exchange. Rédei’s proposition of a loan from early Indo-Iranian (1983: 216) is untenable, both due to the lack of a-vocalism and, ignoring this, the lack of the velar extension needed to account for the Uralic forms."
54,*(h₂)nepōt,‘nephew’,Lat. nepōt; OIr. nia; OHG nefo; OLith. nepuotis; OCS netĭjĭ; Gr. ἀνεψιός ‘cousin’; Ved. & Av. napāt,Technically the original meaning of the root is probably closer to ‘(younger) second- degree relation’ as the attestations alternate between ‘nephew’ and ‘grand-son’ (Benveniste 1969: 231ff.). There seems to be little detriment in positing an initial laryngeal to account for the Greek material. The item can be established for late middle PIE.,NW Caucasian *pa 'son; to rear',"According to Colarusso also connected with PIE *ne-pot- ‘nephew’ with a diminutive prefix *ne- (1997: 145), which is rather inelegant. The vocalism does not match ‘son’ with ‘nephew’, and the comparison is altogether unconvincing. *(h₂)(s)kwal-o-s ‘catfish’, see item 78 under *kʷ-"
55,*h₂ster-,‘star’,"Hit. ḫaster-; Toch. A śreñ (pl.), Toch. B ścirye; Lat. stēlla; OIr. ser; Goth. staírno; Gr. ἀστῆρ; Arm. astl; Ved. stár-, Av. star-.","Latin requires an *-l- derivation that seems to be resonated in Celtic (de Vaan 2008: 585). The term is widespread and retains its meaning in all branches of attestation, making a reconstruction for the earliest strata of PIE unavoidable. Bomhard suggests that the noun is internally derived from the verb *h₂eh₁-s- ‘to burn, dry’ (1986).","Semitic: *ʕaθar(-at)- ‘Venus, deified star’","Apparently a religious symbol in the Proto-Semitic world, the formation is not included by Orel & Stolbova (1995), which necessarily has consequences for the evaluation of possible provenance. Since the word is attested in IE to warrant reconstruction of an old and concrete meaning ‘star’, it is significantly more attractive to posit PIE as the potential provider vis-a-vis from the specialized and culturally dependent meaning in Semitic as propounded by Dolgopolsky (1987: 15f., 1993: 244). Moreover, the connotations in Semitic conducive for the comparison are demonstrably secondary cultural attributes to the deity (Diakonov 1985: 122f.), so this comparison can safely be ascribed to chance."
56,*h₂uerg-,‘wheel’,"Hittite GIŠḫurki-; Toch. A wärkänt-, Toch. B yerkwanto-; Lat. vergere ‘to incline’; OE wrencan ‘to turn, wring’; Ved. varj- ‘to turn’","These nominal formations in Anatolian and Tocharian, of the same root, but of different derivational paths, are traditionally related to the verbal root directly continued in the other languages (Kloekhorst 2008a: 365), likely also in Tocharian A wärk- ‘to turn’ (Adams 2013: 547f.).",North Caucasian: *ħəlkwV ‘vehicle’ > e.g. Avar hokó ‘kind of bullock cart’,"A Hurrian cognate may be deduced from the non-native Hittite word ḫulukanni- ‘light carriage’ (cf. Kloekhorst 2008a: 361) that may grand further support to the North Caucasian connection proposed by S. Starostin (2009: 97f.), but formal problems, most importantly the lateral and labiovelar reflexes in the Caucasian stock, makes direct relations improbable. A transfer of a technological item like this is very likely (cf. *kʷekʷlo- ‘wheel’, item 79), but the semantic discontinuity retains the case for objection. If viable, the directionality is certainly established from PIE to North Caucasian."
57,*h₃ep-,‘wealth’,"Hit. ḫappina- ‘rich’; Lat. ops; ON afl ‘strength, power’; (?)Gr. ὂμπνη ‘food, corn’; Ved. ápnas- ‘possessions’, YAv. afnaŋvhaṇt ‘rich in property’","Hittite, Indo-Iranian, and possibly Greek (although Beekes prefers a pre-Greek origin, 2010: 1079f.), agree to derive the root, found in Latin, with an *-en- suffix. The Anatolian cognates secures the root for the oldest strata of PIE. Common thematic derivations similarly abound, cf. Latin opus and Vedic apás.","Semitic: *ḥpɬ 'gather, collect' > e.g. Arab. ḥafaša ‘to gather wealth’ (Bomhard 1981: 404) NW Caucasian: Abkhaz *ápš’ə ‘to venture, undertake’","Both comparanda suggested by Bomhard, the Semitic forms are presented with the aim of establishing genetic relations (1981: 404), but seems without Afro-Asiatic cognates (cf. Orel & Stolbova 1995 and Militarev 2005) and is consequently difficult to substantiate, while the Northwest Caucasian connection (2015: 25) suffers from semantic discontinuity and a lack of NE Caucasian support. Both comparisons must, at best, be considered strictly tentative."
