headword	status	pc_form	pg_form	references	isogloss_typology	interpretation	interpretation_category	stratum	notes	page_anchor
LEAD	compelling	*ϕloudio- (MIr. lúaide ‘lead’)	*lauda- (OE lēad, OFri. lād, Du. lood ‘lead’)	L264, Kr140, IEW 837, Fraenkel 1962-1965, 378, Birkhan 1970, 147-152, Pl284, EDLI 339, 474, EDPC 135, EDPG 328	LX	CGL (III-IV)	CGL	III-IV	The Celtic word can be etymologically connected with Lat. plumbum ‘lead’, in which case it would be a prehistoric Wanderwort, cf. possibly also Proto-Berber *būldūn ‘lead’. Alternatively, derivation from the PIE root *pleu- ‘to flow’ is possible, but a formation *plou-dʰo- hinges on the assumption of an ad hoc suffixation in *dʰ. In either scenario, the Germanic word must have been borrowed from Celtic after Celtic loss of PIE *p. Within Germanic, the word is exclusively attested in West Germanic, which could point to borrowing in the period between PG and PWG. However, since the word may have been lost in North Germanic and remained unattested in Gothic, it cannot be excluded that the borrowing occurred prior to the Proto-Germanic split, in which case it would be attractive to assume adoption before to the PG change *o > *a.	page:26
LEATHER	compelling	*ϕle/itro- (OIr. lethar, W lledr, MB lezr ‘leather’)	*le/iþra- (ON leðr, OE leðer, OHG ledar ‘leather’)	L264, Kr140, Schm145, EDPC 134, EDPG 332	MO	CGL (II)	CGL	II	The Celtic appears to be a derivative of PIE *pel- ‘to skin’ with the abstract or instrumental tro-suffix. The word is likely to have been loaned into Germanic after Celtic loss of *p, but before the Germanic sound shifts. The e-vocalism of the Celtic reflexes may be accounted for by assuming a zero-grade neuter PIE *pl-tro- > PC *ϕlitrom; evidence for an original neuter comes from the fact that the word is overwhelmingly neuter in Germanic. In British Celtic the lowering occurring in the collective *ϕlitrā must then have been generalized to the singular.	page:27
LEECH	compelling	*leCVgi- (OIr. lïaig, gen. lego, lega ‘leech, doctor, physician’)	*lēkja- (Go. lekeis, ON lækir, OE lǣce ‘doctor’, ODu. lake, OHG lāhhi, lāchi ‘leech’)	L264, Pl283, EDPG 321	LX	CGL (II)	CGL	II	A Pre-Grimm borrowing from Celtic to Germanic. The Old Irish was disyllabic, meaning a now-lost consonant must be reconstructed, which was likely *ϕ or *i̯. For PG, a form *le.egi- would be optimal.	page:27
LEFT	compelling	*kl(e)io- (OIr. clé ‘left (side); malign’, W cledd, B kleiz, Co. cledh ‘left (hand)’)	*hlī̆(j)a- (Go. hleiduma comp. ‘left’)	L260, IEW 600-602, EDPC 207	MO/SM	IE(?) (0)	IE(?)	0	The PIE root *ḱlei- ‘to lean, be slanted’ only has the meaning ‘left (side, hand)’ in Celtic and Germanic. The comparative suffix *-duman- (< PIE -tmHo-) is infrequent in Germanic, which suggests that both the formation and its meaning are old.	page:27
LOUSE	compelling	*lu(u/s)ā (W llau, B laou, Co. low ‘lice’)	*lūs- (OE lūs, ON lús, OHG, MDu. lūs ‘louse’)	L253, IEW 692, EDPC 250	SM	IE(?)	IE(?)		Celtic and Germanic are compatible with a shared root *luH(s)-‘louse’. The connection with ToA lu, pl. lwā, B luwo, pl. lwāsa ‘animal’ is not semantically evident, but if correct, Celtic and Germanic would still share a semantic innovation ‘animal > louse’. This innovation may have occurred already in late Proto-Indo-European, however, i.e., after the departure of the Tocharian branch.	page:27
MALICIOUS	compelling	*elko- (OIr. elc ‘mischievous, bad’)	*elhja- (ON illr ‘ill, evil, bad, mean’ (>> Finnish elkiä ‘mean, malicious’))	L262, IEW 307, EDPG 117	LX/SM	IE (0), ML (I-II)	IE (0), ML	I-II	Both forms may continue a possibly archaic CG root *(h1)elk-‘bad’. A relation with *h1e/olk- ‘to be hungry’, cf. OHG ilki gl. fames vel stridor dentium, Lith. álkti, Latv. aÎkt ‘to be hungry’ is semantically tenuous. Even if accepted, it would still leave a semantic isogloss between Celtic and Germanic.	page:27
MANE	compelling	*mong-o-/ā (OIr. mong, W mwng, OB. mogou ‘mane, hair’, MB. moe)	*mankan- (ON makki, Elfd. maunke, Da. manke ‘mane’)	L257, IEW 747-748, EDPC 275, H77, EDPG 353	LX/MO	IE (0), (M)L (I-II)	IE (0), (M)L	I-II	A CG *mong- may be reconstructed. This is typically treated as a derivative of PIE *mon- ‘neck’ with a velar suffix *g. However, such a suffix is not otherwise attested, leaving the ultimate origin of the word uncertain.	page:27
MEDICINE	compelling	*lub-ī (OIr. luib ‘wort, plant; healing herb, remedy’, W llu- arth, MB lu-orz, MCo. low-arth ‘garden’)	*lubja- (Go. lubja-leisei ‘witchcraft’, ON lyf ‘medicine, healing herb’, OE lyb ‘medicine, drug, potion’)	L250, Kr140–141, Pl283, EDPC 246, H21, EDPG 341	MO/SM	IE? (0), CGL (I, III), GCL (I-II)	IE? (0), CGL (I, III), GCL	I-II	A CG *(H)lubʰ-i- can be reconstructed with the meaning ‘herb, medicine’. Further connection with Ru. lub ‘bark’, Go. lauf(s) ‘foliage’ < *(H)loubʰ-o- and Lat. liber ‘bark; book’ < *(H)lubʰ-ro- is formally possible.	page:27
NUMBER	compelling	*rīmā (OIr. rím, W rhif ‘number’)	*rīma- (ON rím ‘number’, ON rím ‘computation’, OHG rīm ‘account, series, number’)	L258, EDPC 313, H13, EDPG 413, Ko8	MO	IE (0), ML (I-III)	IE (0), ML	I-III	A CG formation *h2riH-m(o-/eh2) may be reconstructed, from *h2reiH- ‘to fit, fix’, cf. with a different suffix Gr. ἀριθμός ‘number, payment’. However, it cannot be excluded that this isogloss arose as a result of mutual borrowing, in which case the formation would have to be native to only one branch.	page:28
OATH	compelling	*oito- (OIr. óeth ‘oath’, W an-udon ‘perjury’)	*aiþa- (Go. aiþs, OE āð, ON eiðr, OHG eid ‘oath’)	L246, Pl283, Schm143, Schu176–177, EDPC 305, H2, EDPG 15	SM	IE(?) (0), CGL (I-II)	IE(?) (0), CGL	I-II	A CG *oito- ‘oath’ may be reconstructed. This formation has previously been derived from the PIE root *h1ei- ‘to go’ (cf. Sw. ed-gång). This is just one possibility, but if correct, Gr. οἶτος ‘fate, destiny’ (< “course”?) would be morphologically parallel, making the development to ‘oath’ a semantic isogloss. On the other hand, given the preservation of a more primary meaning in the PG parallel formation *aiþ/da- ‘isthmus’ (cf. ON eið), it could perhaps be argued that this semantic shift is more likely to have occurred in Celtic. This would be an argument for postulating a CGL.	page:28
OATS	compelling	*korkio- (OIr. corcae, MIr. corca, coirce, W ceirch, B kerc’h ‘oats’, OCo. bara keirch gl. panis avena)	*hagran- (OSw. hagri, Nw. dial. hagre ‘oats’), *hagrja- (Da. hejre ‘brome grass’)	L252, EDPC 216, EDPG 199	LX	3L (I-II)	3L	I-II	A CG *kork- or *kokr- may be reconstructed. To explain the variants, a form *korkrio- has been posited, but the alternation between *kr and *rk may also indicate adoption from a third language. If connected, the similar-looking but formally irreconcilable Fi. kattara ‘brome’ may be a parallel substrate borrowing.	page:28
PHANTOM	compelling	*skāxslo- (OIr. scál ‘phantom, giant, hero’, MW yscawl ‘young hero, warrior’)	*skōhsla- (Go. skohsl ‘evil spirit, demon’)	EDPC 340, H17, Ko14	MO	ML (I-III)	ML	I-III	A CG formation *skōkslo- may be adduced, which may be a derivation of the PIE root *skek- ‘jump’ with an instrument noun suffix. The original meaning may have been “startler” or “vanisher,” for which cf. OIr. scuichid, perf. scáich ‘to move, vanish’, W ysgogi ‘to move, tremble’. The peculiar ablaut grade and suffix *-slo- (for usual *-tlo-) finds a parallel in OIr. tál ‘adze’ from PIE *teḱ- ‘to build’.	page:28
PINE	compelling	*gisusto- (OIr. giús, ScG giuthas, MoIr. giumhas, giúis ‘fir tree, pine’)	*kizna- (OE cēn ‘pine tree, spruce’, MLG kēn ‘pine cone, pinewood’, OHG kien ‘pine tree, pinewood torch’)	EDPG 289	LX	3L (I-II)	3L	I-II	A CG *gis- may be reconstructed. The Germanic may be segmented as pre-PG *gis-nó-, where the second element may perhaps be the *-no- suffix often found in plants and trees (cf. PC *kolis-no- ‘holly’). The Goidelic vocalism appears identical to OIr. sïur, MoIr. siúr, ScG piuthar ‘sister’ < PC *suesūr, suggesting a lost medial *s or *p, but the lost medial consonant cannot be established with certainty. The inferred st-suffix is obscure, but also found in other non-Indo-European dendronyms, cf. Basque gorosti ‘holly’ vs. the aforementioned *kolisno- and PC *kʷresti- ~ PG *h(w)ursti ‘copse’ vs. PS *kʷres-no-‘tree’.	page:28
QUARREL	compelling	*bāg-ī- (OIr. bág ‘boast, threat, fight’, báigid ‘boasts’), *bāgio- (MW bei ‘fault, transgression’)	*bēg- (OHG bāgan (pret. biag) ‘to quarrel’, ON bágr ‘contest, resistance’, bægjast ‘to quarrel, strive’)	L246, Van Windekens 1941, 85, EDHIL 618, Bomhard 2014, H45	RT/LX	IE? (0), ML (III-IV)	IE? (0), ML	III-IV	There are three plausible explanations for this lexical correspondence: (1) An IE archaism with ablaut *bʰeh1gʰ- / *bʰoh1gʰ-, (2) a loanword from early Germanic *bēg- with Germanic /ē/ = [æ:] being borrowed as Celtic /ā/, (3) a Celtic loanword into (North-West) Germanic with Celt. /ā/ being borrowed as the lowered continuant of Germ. /ē/, North-West Germanic [a:]. None of the involved vocalic loan substitutions have any parallels, however, which could favor inheritance of a root in both branches. Cognacy with Hitt. paknu-zi ‘to defame, slander’ (< *bʰh1ǵʰ-neu-?) or ToB pakwāre ‘evil, bad’ (< *bʰoh1ǵʰuōro-?) is possible but less certain and the often-adduced Latv. buôžus (buôzties) ‘to become angry’ could perhaps ultimately go back to Low German bōs ‘angry’.	page:28
RIDE	compelling	*reid- (Gaul. rēda ‘wagon’, OIr. réidid ‘rides’, W rhwydd ‘easy, quick’)	*rīdan- (ON ríða, OE rīdan, OFri. rīdan, OS rīdan ‘ride, drive’)	L255, Kr140, Pr120, LIV² 502, EDPC 307, H68, EDPG 412, Ko9	SM	IE(?), GCL (I-II)	IE(?), GCL	I-II	Germanic and Celtic reflexes of *(H)reidʰ- share the meaning ‘to ride’, which may have developed from a more original meaning ‘to move unsteadily’, cf. Lith. riedė́ti (riedù) ‘to roll’, with the original range of meanings preserved in ON ríða ‘to ride; to reel, stagger; to rise’, OE rīdan ‘to ride; to move, rock’. Since the verb is less polysemous in Celtic, it seems unlikely that Germanic borrowed the verb from that language at any point in time, but the reverse borrowing is more difficult to reject.	page:28
RIDGE	compelling	*roino- (OIr. róen ‘way, path’, OB runt, B run ‘mound, plateau’, MCo. runyow ‘hills’)	*raina- (ON rein ‘strip of land’, MHG rein ‘border wall, edge of a field’)	L253, Kr140, IEW 857-859, EDPC 316, H87, EDPG 403	LX	IE? (0), L (I-III)	IE? (0), L	I-III	A CG *roino- may be reconstructed. The original meaning may have been ‘(walkable) ridge at edge of field’, which then developed into ‘path’, ‘mound’, ‘strip of land, boundary’. A root connection to PIE *(H)rei- ‘to scratch, cut’ suggested by IEW is speculative.	page:29
ROW	compelling	*rā- (OIr. ráïd ‘rows’)	*rōan- (ON róa, OE rōwan ‘to row’)	L254, IEW 338, KPV 529-30, LIV² 251, EDPC 306, EDPG 414, Ko7	MO (0)	IE (0)	IE	0	Celtic and Germanic uniquely continue an o-grade formation to the PIE root *h1reh1- ‘to row’, cf. e.g. Lith. ìrti, Latv. ir̃t < *h1rh1-. According to LIV², these are independent innovations based on a reduplicated perfect *h1re-h1roh1- (cf. OIr. rer(a)is, ON rera), but it is alternatively possible to reconstruct a primary o-grade iterative verb (type *molh1- ‘to grind’) for Proto-Indo-European. That would make it either an archaism or an early, shared innovation.	page:29
RUSHES	compelling	*sem- (OIr. sim(a) ‘stalk, stem’, simin(n), seimen(n/d) ‘rushes, reed’), *seb- (sibin(n), sifin(n) ‘rushes, reed’)	*sem- (OS semith, OHG semida ‘rushes, reed’, G Simse ‘(bul)rush’), *seb- (ON sef, MHG sebede ‘rushes, reed’)	EDPG 432, Stifter 2015, 101	LX	3L (I-III)	3L	I-III	A CG *sem-, *sebʰ- may be reconstructed. The reconstruction of both the Celtic and the Germanic forms are problematic in that both branches have an irregular alternation between rootfinal m and b and in both branches this root is sometimes but not always suffixed with a poorly understood suffix. The OIr. -in(n) suffix may be analyzed as a diminutive suffix, but if the suffix was originally -ind, it may be compared to the suffix in G Simse < PG *semī̆t- (OS semith, OHG semida seem to contain the *-eþ- suffix denoting groups of trees and plants). The vacillation between b and m found in both branches as well as the poorly understood suffixes could point to a shared substrate origin (for an additional potential link, cf. Hitt. šumanza- ‘(bul)rush’ < *sm-nt-io-). Stifter proposes an internal Irish account for the variation between b and m.	page:29
SAIL	compelling	*siglo- (OIr. séol, W hwyl ‘sail, covering’)	*sigla- (ON segl, OE segel, OS segal, OHG segal, segil ‘sail, canvas’)	L264, Kr141, Schm143, SBCHP 357, Thier 2011, 187- 190, EDPG 430, Ko7	LX	IE? (0), ML (I, III), GCL (II)	IE? (0), ML (I, III), GCL	II	A C *siglo- must be reconstructed, as *seglo- would yield W **hail, cf. PC *u-reg-n- > W dyrain ‘to rise’. This is mirrored by PG *se/igla-, leaving only *sigʰlo- as Celto-Germanic isogloss. This reconstruction is incompatible with the traditionally compared PIE root *sek- ‘to cut’, which through Verner’s law could have resulted in PG *segla-. As a result, it seems impossible to establish the direction of borrowing on linguistic grounds.	page:29
SAVOR	compelling	*suek- (W chweg, B c’hwek ‘sweet’), *suekk- (W chwech (?) ‘sweet’)	*swekan- (OS suecid gl. olet, OHG swehhan ‘to gush, smell (bad)’), ?*swak(k)u-, *swak(k)ja- (OE swecc, swæcc ‘(sweet) taste or smell’, OS suec ‘smell’), *swak(k)jan- (OE sweccan ‘to smell’), *swēkjōn- (Icel. svækja ‘sweltering heat; drizzle; heavy air’)	L258, IEW 1043, Seebold 1970, 487, EDPC 364, H88	LX	GCL (III)	GCL	III	PG *swek- perhaps from an earlier obscure element *sueg-, may be reconstructed. The root looks native in Germanic in view of the strong verbs and its productivity. Within Celtic, a related verb is not found and it is restricted to Brittonic. This points to borrowing from Germanic to Celtic after the consonant shifts, as does the un-Celtic-looking variation between word-final single and geminate consonants. MW chweith ‘taste, savor’ < PC *suex-to/tu-/tā also seems related to chweg. If it is, then a connection between chweith and PIE *suekʷ- ‘sap, juice’ must be abandoned (contra EDPC). The Germanic semantics ranging from ‘to gush, drizzle’ to ‘to smell’ are paralleled by ON rjúka ‘to smoke, steam’, Du. ruiken ‘to smell’.	page:29
SECRET	compelling	*rūnā/o- (OIr. rún ‘secret’, W rhin ‘spell, enchantment’)	*rūnō- (Go. runa ‘secret’, OE rūn, OS rūna ‘whisper, secret’, ON rún ‘rune, secret’)	L260, Kr139, IEW 867, EDPC 316, H5, Ko13	LX	IE? (0), ML (I-III)	IE? (0), ML	I-III	A CG formation *rūnā- (*HruH-neh2-?) may be reconstructed. Further parallel formations are found in OHG gi-rūni, MHG ge-riuni, MoG Geraune ‘whisperings’ < *ga-rūn(j)a- and MIr. comrún, cobrún, W cyfrin, MB queffrin ‘(joint) secret’ < komrūno-. A connection with PIE *h3reuH- ‘to roar’ (cf. Lat. rūmor) is semantically weak.	page:29
SEEP	compelling	*leg-o- (OIr. legaid ‘melts, dissolves’, W llaith, B leiz ‘damp’, W dadlaith ‘to melt’)	*lekan- (ON leka, OHG lehhan ‘to leak’)	L261, KPV 449, IEW 657, LIV² 397, EDPG 331	RT	IE? (0), L (I-II)	IE? (0), L	I-II	A possibly archaic CG root *le( ǵ) - ‘to seep’ may be reconstructed. A further connection with Arm. lič ‘lake’ seems more speculative because of the formal and semantic differences.	page:30
SERVANT	compelling	*ambaxto- (Gaul. ambaktos, ambactus ‘vassal’, W amaeth ‘farmer’)	*ambahta- (Go. andbahts, OHG ambaht ‘servant, representative’, ON fem. ambátt ‘bondwoman’)	L263, Kr137, Pl283, Schm142, EDPC 32, EDPG 24, Ko13	MO	CGL (III)	CGL	III	The Celtic is from PC *ambi- + *ax-to- ‘one sent around’, so the direction of borrowing was from Celtic to Germanic.	page:30
SHOOT	compelling	*slattā (MIr. slat ‘stalk, stem, branch’, W llath ‘rod, staff’, B lazh ‘pole, rod’)	*laþ(þ)a/ōn-, *latta(n)- (OE lætt, ME laþþe, MoE lath, lat, MDu. latte ‘lath’, OHG lad(d)a/o, lat(t)a/o ‘lath, shoot’)	Kroonen 2011, 214, EDPC 345	LX	ML/3L (I-II)	ML/3L	I-II	A CG *(s)lat(t)- may be reconstructed. The forms do not match up precisely, as there is no trace of initial *s- in Germanic. The Germanic appears to go back to an original n-stem, i.e. nom. *laþō, gen. *lattaz < pre-PG *lat-ōn, *lat-n-os, which can explain the geminated forms by Kluge’s law. A borrowing from Germanic to Celtic would explain the Celtic geminate. However, the initial s- in Irish complicates this scenario.	page:30
SLAUGHTER	compelling	*boduo- (OIr. Bodb, Badb ‘war-goddess; hooded crow’)	*badwa/ō- (OE beadu, ON bǫð ‘battle, war’)	L246, IEW 113, Pl284, H37, Ko10	MO/LX	IE? (0), CGL (I, III), GCL (I-III)	IE? (0), CGL (I, III), GCL	I-III	Although the OIr. is best attested as a specific theonym, it simply means ‘vulture, carrion-crow’ in MoIr. The connection with PG *badwō- is suggestive of a uniquely CG battle deity associated with the slain. This association technically allows for derivation from the root PIE *bʰedʰ- ‘to poke, dig’, but the semantics are non-compelling.	page:30
SLOPE	compelling	*glendos- (OIr. glenn, W glyn ‘glen, valley’, MB glenn ‘land’), *glandnā (W glan, B glann, Co. glan ‘shore’)	*klinta- (ON klettr ‘rock, cliff’, MLG klint ‘shore’), *klanta- (Nw. dial. klant ‘cliff; peak’, Sw. dial. klant ‘cliff’)	EDPC 160	LX	3L (I-II)	3L	I-II	CG *glend- may be reconstructed. According to David Stifter (p.c.) there are two Celtic formations from this ‘root’, namely *glendos- (the source of W glyn, MB glenn) and *glannā < *glandnā < *gln ̥ d-nā (W glan, Old British glanna in place names), of which OIr. glenn appears to be a hybrid. Borrowing from a third language appears likely because the root contains two plain voiced stops in PIE terms, which violates PIE root constraints.	page:30
SIEVE	compelling	*sītlo-/ā (W hidl, MB, sizl ‘sieve’)	*sēþla- (ON sáld ‘sieve, riddle’)	L250, EDPC 338, H83, EDPG 430	MO	IE (0)	IE	0	From PIE *seh1-tlo-, an instrumental noun to PIE *seh1- ‘to sift’. The formation must be fairly old, as the base verb does not survive in Germanic.	page:30
SILVER	compelling	Celtib. silabur ‘silver, money’	*silubra- (Go. silubr, ON silfr, sylfr, OE seolfor, OHG silabar ‘silver’)	Mallory & Huld 1984, Boutkan & Kossmann 2001, EDPG 436, Ko8	LX (I, III)	3L (I, III)	3L (I, III)		A non-IE Wanderwort that appears to have come to Germanic via Celtic, cf. Basque zilhar, Proto-Semitic *ṣarp- ‘silver’. Within Indo-European it is also found in Balto-Slavic, cf. OCS sьrebro, Lith. sidãbras ‘silver’, but these forms are slightly more divergent.	page:30
SKIN	compelling	*sekio- (OIr. seiche ‘skin, hide’)	*segja- (ON sigg ‘hard skin’)	L257, EPDC 331, Stifter 2011, 558, EDPG 430	MO/SM	IE?	IE?		Celtic and Germanic may uniquely share an archaic formation *sek-ió- with the meaning ‘(animal) skin’, possibly derived from PIE *seḱ- ‘cut’. The Irish is inflected as a t-stem. However, as noted by Stifter, this type enjoys some productivity and may have replaced an older io-stem.	page:30
SPEAR	compelling	*gaiso- (Gallo-Gr. γαῖσον, Gallo-Lat. gaesum, OIr. gae, W gwayw ‘spear, javelin’)	*gaiza- (OE gār, OHG gēr, ON geirr ‘dart, spear’)	L248, IEW 410, EDPC 155, H29, EDPG 164, Ko9	MO	GCL (III)	GCL	III	A PIE formation *ǵʰois-ó- may be reconstructed for PG *gaizaand Skt. heṣá- ‘some weapon’, from a root *ǵʰeis- also found in Skt. hinásti ‘wounds’ < *ǵʰi-n-es- (with no laryngeal). The Germanic word was borrowed into Celtic after Germanic *o > *a. If this is correct, Gr. χαῖος ‘shepherd’s staff’, which is semantically more remote, cannot be related because of its vocalism.	page:30
STICK	compelling	*gli-na- (OIr. glenaid ‘adheres, cleaves’, W glynu, MB englenaff ‘to adhere, stick, bind’)	*klinan- (OHG klenan ‘to baste, stick together’)	L261, KPV 337-339, IEW 362-363, LIV² 290	MO	IE (0)	IE	0	A PIE root *gleiH- ‘to smear, stick’ is attested as a nasal present *gli-ne-H- in Celtic and Germanic only. This nasal infix must have been inserted before the loss of the laryngeals, which makes this a likely archaism inherited from Proto-Indo-European.	page:31
THROAT	compelling	*brāgant- (OIr. brágae, MW breuant ‘neck, throat’)	*k(w)ragan(þ)- (ON kragi, MHG krage, E craw ‘throat, collar’)	IEW 474-6, EDPC 72, EDPG 301	MO/SM	IE (0), L (I)	IE (0), L	I	Celtic and Germanic appear to be formed to a verbal root *gʷrogʰ- ‘to gulp’, cf. Gr. βρόχω* ‘to gulp down’ < *gʷrogʰ-, although this root is not otherwise attested in either Celtic or Germanic. Both formations may be unified into a common proto-form *gʷrō ̆ gʰ-ont- (with expected loss of *þ in absolute Auslaut in Germanic), although an unexplainable difference in vowel length remains. The semantic shift from ‘to gulp’ to ‘throat’ seems trivial, cf. Gr. βρόγχος ‘windpipe, throat’, but is nevertheless shared by Celtic and Germanic.	page:31
TIP 1	compelling	*brozdo- (OIr. brot ‘goad, spike’)	*brazda- (Icel. bradd ‘edge’, OE breard ‘brim, margin’, OHG brart ‘edge’), *bruzda- (ON broddr ‘spike’, OE brord ‘point, grass shoot’)	EDPG 54, 74, 77, 81	LX	IE? (0), ML (I), GCL (II)	IE? (0), ML (I), GCL	II	The variety in vocalism presents a problem in positing a shared common form (cf. TIP 2). Reanalyzed ablaut may account for the variation in Germanic, cf. ON barð ‘brim, prow, beard’, OE beard ‘beard’ < PG *barzda- (whence probably Lith. barzdà, Latv. bā ̀ rda, OCS brada ‘beard’). The intra-Celtic alternation between vocalism in a (see TIP 2) and o (in OIr. brot) is more difficult to account for. Perhaps the Celtic forms are borrowings from different Germanic forms in *a and *u, or Germanic *a could be interpreted as both *a and *o in Celtic.	page:31
TIP 2	compelling	*brazdo- (W brath ‘bite, prick; cut, wound’)	*brazda- (Icel. bradd ‘edge’, OE breard ‘brim, margin’, OHG brart ‘edge’)	EDPG 54, 74, 77, 81	RT	GCL (III)	GCL	III	It appears that Celtic *brazdo- was borrowed from PG *brazda-.	page:31
VOW	compelling	*lugio- (OIr. lugae, luige, W llw ‘oath’)	*leugō- (Go. liuga ‘marriage’), *lugōn- (OFri. logia ‘to arrange, allot’)	L245, Kr134–135, Pr121, Pl281–282, EDPC 247, EDPG 333, Ko13	RT	IE? (0), ML (I)	IE? (0), ML	I	A CG root *leugʰ- may be reconstructed. Although the phonotactics of this root do not preclude an IE origin, the lack of cognates in the other branches is unfavorable. Recent borrowing is unlikely because identical formations are lacking.	page:31
WILD	compelling	*gʷelti- (MIr. geilt ‘panicked person, lunatic’, W gwyllt, ‘wild, mad’)	*welþja- (Go. wilþeis, ON villr, OE wild, OHG wildi ‘wild, uncultivated’)	L261, IEW 1139-1140, EDPC 146, H46, EDPG 579	RT/MO	IE? (0)	IE?	0	A CG adjective *gʷʰel-ti- may be reconstructed. Given the regular development of PIE *gʷʰ in both branches, it seems likely that the root was inherited from PIE.	page:31
WILDERNESS	compelling	*kaito- (W coed, B koad, MCo. coys ‘wood’)	*haiþī- (Go. haiþi ‘open field’, ON heiðr ‘heath, moor’, OE hǣð, MLG hēde ‘heather’), ?*haiþa- (dial. early MoE hothe)	L252, EDPC 198, H95, EDPG 202 A CG lexical element *kait- may be reconstructed that is found in no other IE branch. Within G the ī-stem has parallels in other feminine terrain names such as ON elfr ‘river’ < *albī-, ON eyrr ‘shoal’ < *aurī- and ON mýrr ‘swamp’ < *meuzī-.	LX	3L (I-II)	3L	I-II		page:31
WOOD	compelling	*uidu- (OIr. fid, W gwŷdd, B gwez, OCo. guid-en ‘trees, wood’)	*widu- (ON viðr, OE widu, wiodu, wudu, OHG witu ‘wood’)	L252, Kr140, ALEW 1423, EDPC 420, EDPG 585	SM	IE(?), CGL (I, III), GCL (I-II)	IE(?), CGL (I, III), GCL	I-II	A PIE formation *(h1)ui-dʰh1-u- ‘put apart’ may be reconstructed. This formation may be parsed as containing *(h1)ui-‘apart’ and *dʰeh1- ‘to put’, implying an original meaning ‘put apart’, with a Celto-Germanic semantic shift to ‘wood’. This exact formation is also found in Skt. vidhú- ‘isolated’, Lith. vidùs, Latv. vidus ‘interior, middle’.	page:31
YEW	compelling	*iuo- (OIr. eó ‘stem, shaft, yew-tree’, W yw, B ivin, OCo. hiuin ‘yew, yew-wood’)	*īwa/ō- (ON ýr, OE īw, ēow, OHG īwa ‘yew’)	L252, EDPC 173, EDPG 271	SM	IE?	IE?		The European languages show different reflexes of a word with different ablaut grades: 1) *h1eiH-u- (PG *īwa/ō-), 2) *h1iH-u-(PC *iuo-), 3) *h1oiH-ueh2- (Gr. ὄα, ὄη ‘elderberry tree, mountain ash’, Lith. ievà, Latv. iẽva ‘bird cherry’). However, the specific meaning ‘yew’ is Celto-Germanic.	page:32
BATTLE	doubtful	*keldāko- or *kellāko- (MIr. cellach ‘strife, contention’)	*helþī- (OE hild ‘war, battle’, OHG hiltia, ON hildr ‘battle’)	L247, EDPC 199, H31	SM	IE(?)	IE(?)		Derivatives of PIE *kelh2- or *keld- ‘to strike’ meaning ‘battle’ may be found in CG, but the exact formations differ. This semantic shift is likely also trivial, cf. OCS klati ‘to kill’ < *kolh2-.	page:32
BESTOW	doubtful	*linkʷ-o- (OIr. léicid ‘leaves, lets, allows, grants’)	*līhwan- (Go. leiƕan ‘to loan’, ON ljá ‘to lend; to give, grant’, OE lēon, OS far-līhan, MDu. lien, OHG līhan ‘to lend’)	Pr121, KPV 454-6, EDPG 336	SM	IE(?)	IE(?)		A CG semantic innovation of the PIE root *leikʷ- ‘to leave, abandon, release’ to ‘to loan, bestow, grant, allow’ may be adduced. However, the related Skt. riṇákti has a rather close range of meanings, including ‘leaves’, but also ‘gives up, lets go, sells’.	page:32
BREAK	doubtful	*brest- (OIr. bres ‘fight, blow’, brissid ‘breaks’, B, Co. bresel ‘war’)	*brestan- (ON bresta ‘to break’, OE berstan ‘to burst’, OS brestan ‘burst, break’)	EDPC 76, EDPG 75	LX	IE? (0) ML (I), ML(III)	IE? (0) ML (I), ML	III	If related, a CG *bʰrest- ‘to break’ may be reconstructed. However, the Celtic material allows for many reconstructions; an alternative reconstruction to PIE *bʰrdʰ-(t)- allows comparison with Gr. πέρθω ‘to destroy, devastate’.	page:32
BRIGHT	doubtful	*ber(x)to/ā (W berth ‘beautiful, splendid, rich, bright; wealth, treasure’, MB berz, MoB berzh ‘power, authority’)	*berhta/ō (Go. bairhts ‘bright, clear, manifest, evident’, ON bjartr ‘bright, shining; illustrious’, OE beorht, OS berht, OHG beraht, MHG berht ‘bright, shining’)	IEW 139-140, EDPG 61	MO	IE (0), ML (I), GCL (II), ML (III)	IE (0), ML (I), GCL (II), ML	III	Celtic and Germanic potentially share a unique formation *bʰerh1ǵ-to/eh2 to the root *bʰerh1ǵ- ‘to shine, white’, but the Celtic may alternatively be connected to other roots such as *bʰer- ‘to carry’, or *bʰerǵʰ- ‘to be high, hill’; both of these alternatives have semantically attractive comparanda within Celtic, e.g. W aberth ‘offering’, W braint ‘privilege; value’.	page:32
CHOOSE?	doubtful	*gus-o- (OIr. do-goa ‘chooses, selects, elects’)	*keusan- (Go. kiusan ‘to put to a test, prove by trial’, ON kjósa, OE cēosan, OHG kiosan ‘to choose, elect, examine’)	L258, Pr122, KPV 356-361, EDHIL 497, EDPC 169, EDPG 286	SM	IE(?)	IE(?)		The CG meaning ‘to choose’ contrasts with Skt. juṣate ‘enjoys’, Gr. γεύομαι ‘to taste’, Lat. gustō ‘to taste’, all from PIE *ǵeus- ‘to taste’. The original meaning is preserved in Gothic, which may mean that the semantic shift to ‘to choose’ occurred independently. It is also possible that languages other than Celtic and Germanic underwent a semantic shift from ‘to try’ toward ‘to taste’, leaving a CG archaism.	page:32
